240.06, 0.69, 0.62, -0.18, -0.37, -0.52, -0.07, 0.15, -29.30, 1623974541644.00, 0.01, 0.01, -255.00
241.44, 0.75, 0.62, 0.10, 0.50, 3.02, -1.27, -2.11, -28.83, 1623974541664.00, -0.02, -0.01, 0.00
242.00, 1.06, 0.50, -0.04, 0.29, 0.43, -0.63, -0.53, -29.26, 1623974541677.00, -0.01, 0.00, 0.00
242.19, 0.94, 0.44, -0.12, -0.15, 0.31, -2.21, -1.03, -29.31, 1623974541691.00, 0.00, 0.00, 0.00
242.25, 0.81, 0.50, 0.15, -0.25, 0.14, -0.24, 0.12, -29.37, 1623974541707.00, 0.01, -0.01, 0.00
242.31, 0.81, 0.44, -0.06, -0.06, 0.09, 0.37, -1.13, -29.34, 1623974541721.00, 0.00, 0.00, 0.00
242.56, 0.88, 0.44, -0.06, 0.11, 0.26, -0.28, -1.03, -29.40, 1623974541736.00, -0.01, 0.00, 0.00
242.69, 0.94, 0.31, -0.21, 0.09, 0.24, -0.36, -1.54, -29.40, 1623974541751.00, -0.01, 0.01, 0.00
242.94, 1.06, 0.19, -0.11, 0.05, 0.22, -1.37, -0.81, -29.40, 1623974541771.00, -0.00, 0.00, 0.00
243.12, 1.06, 0.31, 0.08, 0.05, 0.19, -0.89, -1.58, -29.38, 1623974541786.00, -0.00, -0.00, 0.00
243.25, 1.06, 0.44, 0.23, -0.04, 0.13, -0.01, -1.01, -29.40, 1623974541800.00, -0.00, -0.01, 0.00
243.44, 1.00, 0.56, 0.02, 0.03, 0.25, -0.71, -0.32, -29.40, 1623974541820.00, -0.00, -0.00, 0.00
243.81, 0.94, 0.81, 0.23, -0.04, 0.32, -0.90, -2.08, -29.40, 1623974541835.00, -0.00, -0.01, 0.00
243.94, 0.88, 0.94, 0.27, -0.11, 0.24, 0.17, -1.10, -29.40, 1623974541850.00, 0.00, -0.01, 0.00
